rxnID	metNames	Class
rxnAGORA0618	cardiolipin (tetraoctadecanoyl, n-C18:0)	Fatty acid
rxnAGORA0619	cardiolipin (14-methyl-hexadecanoyl, anteiso-C17)	Fatty acid
rxnAGORA0620	cardiolipin (15-methyl-hexadecanoyl, iso-C17)	Fatty acid
rxnAGORA0621	4,5-dihydroxy-2,3-pentanedione	Others
rxnAGORA0853	4-Aminobutanoate	Others
rxnAGORA0854	mucin-type O-glycan No 10	Mucins
rxnAGORA0855	mucin-type O-glycan No 100	Mucins
rxnAGORA0856	released mucin-type O-glycan No 100	Mucins
rxnAGORA0857	mucin-type O-glycan No 101	Mucins
rxnAGORA0858	released mucin-type O-glycan No 101	Mucins
rxnAGORA0859	mucin-type O-glycan No 102	Mucins
rxnAGORA0860	released mucin-type O-glycan No 102	Mucins
rxnAGORA0861	mucin-type O-glycan No 103	Mucins
rxnAGORA0862	released mucin-type O-glycan No 103	Mucins
rxnAGORA0863	mucin-type O-glycan No 104	Mucins
rxnAGORA0864	released mucin-type O-glycan No 104	Mucins
rxnAGORA0865	mucin-type O-glycan No 105	Mucins
rxnAGORA0866	released mucin-type O-glycan No 105	Mucins
rxnAGORA0867	mucin-type O-glycan No 106	Mucins
rxnAGORA0868	released mucin-type O-glycan No 106	Mucins
rxnAGORA0869	mucin-type O-glycan No 107	Mucins
rxnAGORA0870	released mucin-type O-glycan No 107	Mucins
rxnAGORA0871	mucin-type O-glycan No 108	Mucins
rxnAGORA0872	released mucin-type O-glycan No 108	Mucins
rxnAGORA0873	mucin-type O-glycan No 109	Mucins
rxnAGORA0874	released mucin-type O-glycan No 109	Mucins
rxnAGORA0875	released mucin-type O-glycan No 10	Mucins
rxnAGORA0876	mucin-type O-glycan No 110	Mucins
rxnAGORA0877	released mucin-type O-glycan No 110	Mucins
rxnAGORA0878	mucin-type O-glycan No 111	Mucins
rxnAGORA0879	released mucin-type O-glycan No 111	Mucins
rxnAGORA0880	mucin-type O-glycan No 112	Mucins
rxnAGORA0881	released mucin-type O-glycan No 112	Mucins
rxnAGORA0882	mucin-type O-glycan No 113	Mucins
rxnAGORA0883	released mucin-type O-glycan No 113	Mucins
rxnAGORA0884	mucin-type O-glycan No 114	Mucins
rxnAGORA0885	released mucin-type O-glycan No 114	Mucins
rxnAGORA0886	mucin-type O-glycan No 115	Mucins
rxnAGORA0887	released mucin-type O-glycan No 115	Mucins
rxnAGORA0888	mucin-type O-glycan No 116	Mucins
rxnAGORA0889	released mucin-type O-glycan No 116	Mucins
rxnAGORA0890	mucin-type O-glycan No 117	Mucins
rxnAGORA0891	released mucin-type O-glycan No 117	Mucins
rxnAGORA0892	mucin-type O-glycan No 118	Mucins
rxnAGORA0893	released mucin-type O-glycan No 118	Mucins
rxnAGORA0894	mucin-type O-glycan No 119	Mucins
rxnAGORA0895	released mucin-type O-glycan No 119	Mucins
rxnAGORA0896	mucin-type O-glycan No 12	Mucins
rxnAGORA0897	mucin-type O-glycan No 120	Mucins
rxnAGORA0898	released mucin-type O-glycan No 120	Mucins
rxnAGORA0899	mucin-type O-glycan No 121	Mucins
rxnAGORA0900	released mucin-type O-glycan No 121	Mucins
rxnAGORA0901	mucin-type O-glycan No 122	Mucins
rxnAGORA0902	released mucin-type O-glycan No 122	Mucins
rxnAGORA0903	mucin-type O-glycan No 123	Mucins
rxnAGORA0904	released mucin-type O-glycan No 123	Mucins
rxnAGORA0905	mucin-type O-glycan No 124	Mucins
rxnAGORA0906	released mucin-type O-glycan No 124	Mucins
rxnAGORA0907	mucin-type O-glycan No 126	Mucins
rxnAGORA0908	released mucin-type O-glycan No 126	Mucins
rxnAGORA0909	mucin-type O-glycan No 127	Mucins
rxnAGORA0910	released mucin-type O-glycan No 127	Mucins
rxnAGORA0911	mucin-type O-glycan No 128	Mucins
rxnAGORA0912	released mucin-type O-glycan No 128	Mucins
rxnAGORA0913	mucin-type O-glycan No 129	Mucins
rxnAGORA0914	released mucin-type O-glycan No 129	Mucins
rxnAGORA0915	released mucin-type O-glycan No 12	Mucins
rxnAGORA0916	mucin-type O-glycan No 13	Mucins
rxnAGORA0917	mucin-type O-glycan No 130	Mucins
rxnAGORA0918	released mucin-type O-glycan No 130	Mucins
rxnAGORA0919	mucin-type O-glycan No 131	Mucins
rxnAGORA0920	released mucin-type O-glycan No 131	Mucins
rxnAGORA0921	mucin-type O-glycan No 132	Mucins
rxnAGORA0922	released mucin-type O-glycan No 132	Mucins
rxnAGORA0923	mucin-type O-glycan No 133	Mucins
rxnAGORA0924	released mucin-type O-glycan No 133	Mucins
rxnAGORA0925	mucin-type O-glycan No 134	Mucins
rxnAGORA0926	released mucin-type O-glycan No 134	Mucins
rxnAGORA0927	mucin-type O-glycan No 135	Mucins
rxnAGORA0928	released mucin-type O-glycan No 135	Mucins
rxnAGORA0929	mucin-type O-glycan No 136	Mucins
rxnAGORA0930	released mucin-type O-glycan No 136	Mucins
rxnAGORA0931	mucin-type O-glycan No 137	Mucins
rxnAGORA0932	released mucin-type O-glycan No 137	Mucins
rxnAGORA0933	mucin-type O-glycan No 138	Mucins
rxnAGORA0934	released mucin-type O-glycan No 138	Mucins
rxnAGORA0935	mucin-type O-glycan No 139	Mucins
rxnAGORA0936	released mucin-type O-glycan No 139	Mucins
rxnAGORA0937	released mucin-type O-glycan No 13	Mucins
rxnAGORA0938	mucin-type O-glycan No 14	Mucins
rxnAGORA0939	mucin-type O-glycan No 140	Mucins
rxnAGORA0940	released mucin-type O-glycan No 140	Mucins
rxnAGORA0941	mucin-type O-glycan No 141	Mucins
rxnAGORA0942	released mucin-type O-glycan No 141	Mucins
rxnAGORA0943	mucin-type O-glycan No 142	Mucins
rxnAGORA0944	released mucin-type O-glycan No 142	Mucins
rxnAGORA0945	mucin-type O-glycan No 143	Mucins
rxnAGORA0946	released mucin-type O-glycan No 143	Mucins
rxnAGORA0947	mucin-type O-glycan No 144	Mucins
rxnAGORA0948	released mucin-type O-glycan No 144	Mucins
rxnAGORA0949	mucin-type O-glycan No 145	Mucins
rxnAGORA0950	released mucin-type O-glycan No 145	Mucins
rxnAGORA0951	mucin-type O-glycan No 146	Mucins
rxnAGORA0952	released mucin-type O-glycan No 146	Mucins
rxnAGORA0953	mucin-type O-glycan No 147	Mucins
rxnAGORA0954	released mucin-type O-glycan No 147	Mucins
rxnAGORA0955	mucin-type O-glycan No 148	Mucins
rxnAGORA0956	released mucin-type O-glycan No 148	Mucins
rxnAGORA0957	mucin-type O-glycan No 149	Mucins
rxnAGORA0958	released mucin-type O-glycan No 149	Mucins
rxnAGORA0959	released mucin-type O-glycan No 14	Mucins
rxnAGORA0960	mucin-type O-glycan No 15	Mucins
rxnAGORA0961	mucin-type O-glycan No 150	Mucins
rxnAGORA0962	released mucin-type O-glycan No 150	Mucins
rxnAGORA0963	mucin-type O-glycan No 151	Mucins
rxnAGORA0964	released mucin-type O-glycan No 151	Mucins
rxnAGORA0965	mucin-type O-glycan No 152	Mucins
rxnAGORA0966	released mucin-type O-glycan No 152	Mucins
rxnAGORA0967	mucin-type O-glycan No 153	Mucins
rxnAGORA0968	released mucin-type O-glycan No 153	Mucins
rxnAGORA0969	mucin-type O-glycan No 154	Mucins
rxnAGORA0970	released mucin-type O-glycan No 154	Mucins
rxnAGORA0971	mucin-type O-glycan No 155	Mucins
rxnAGORA0972	released mucin-type O-glycan No 155	Mucins
rxnAGORA0973	mucin-type O-glycan No 156	Mucins
rxnAGORA0974	released mucin-type O-glycan No 156	Mucins
rxnAGORA0975	mucin-type O-glycan No 157	Mucins
rxnAGORA0976	released mucin-type O-glycan No 157	Mucins
rxnAGORA0977	mucin-type O-glycan No 158	Mucins
rxnAGORA0978	released mucin-type O-glycan No 158	Mucins
rxnAGORA0979	mucin-type O-glycan No 159	Mucins
rxnAGORA0980	released mucin-type O-glycan No 159	Mucins
rxnAGORA0981	released mucin-type O-glycan No 15	Mucins
rxnAGORA0982	mucin-type O-glycan No 16	Mucins
rxnAGORA0983	mucin-type O-glycan No 160	Mucins
rxnAGORA0984	released mucin-type O-glycan No 160	Mucins
rxnAGORA0985	mucin-type O-glycan No 161	Mucins
rxnAGORA0986	released mucin-type O-glycan No 161	Mucins
rxnAGORA0987	mucin-type O-glycan No 162	Mucins
rxnAGORA0988	released mucin-type O-glycan No 162	Mucins
rxnAGORA0989	mucin-type O-glycan No 163	Mucins
rxnAGORA0990	released mucin-type O-glycan No 163	Mucins
rxnAGORA0991	mucin-type O-glycan No 164	Mucins
rxnAGORA0992	released mucin-type O-glycan No 164	Mucins
rxnAGORA0993	mucin-type O-glycan No 165	Mucins
rxnAGORA0994	released mucin-type O-glycan No 165	Mucins
rxnAGORA0995	mucin-type O-glycan No 166	Mucins
rxnAGORA0996	released mucin-type O-glycan No 166	Mucins
rxnAGORA0997	mucin-type O-glycan No 167	Mucins
rxnAGORA0998	released mucin-type O-glycan No 167	Mucins
rxnAGORA0999	mucin-type O-glycan No 168	Mucins
rxnAGORA1000	released mucin-type O-glycan No 168	Mucins
rxnAGORA1001	mucin-type O-glycan No 169	Mucins
rxnAGORA1002	released mucin-type O-glycan No 169	Mucins
rxnAGORA1003	released mucin-type O-glycan No 16	Mucins
rxnAGORA1004	mucin-type O-glycan No 17	Mucins
