mets,metNames,metID,metFormulas,metCharges,metKEGGID,metHMDBID,b
10fthf[c],"10-Formyltetrahydrofolate",cpdAGORA0001,C20H21N7O7,-2,C00234,HMDB00972,0
10m3hddcaACP[c],"10-methyl-3-hydroxy-dodecanoyl-ACP",cpdAGORA0002,C24H45N2O9PRS,-1,,,0
10m3hundecACP[c],"10-methyl-3-hydroxy-undecanoyl-ACP",cpdAGORA0003,C23H43N2O9PRS,-1,,,0
10m3oddcaACP[c],"10-methyl-3-oxo-dodecanoyl-ACP",cpdAGORA0004,C24H43N2O9PRS,-1,,,0
10m3oundecACP[c],"10-methyl-3-oxo-undecanoyl-ACP",cpdAGORA0005,C23H41N2O9PRS,-1,,,0
10mddcaACP[c],"10-methyl-dodecanoyl-ACP",cpdAGORA0006,C24H45N2O8PRS,-1,,,0
10mtddec2eACP[c],"10-methyl-trans-dodec-2-enoyl-ACP",cpdAGORA0007,C24H43N2O8PRS,-1,,,0
10mundecACP[c],"10-methyl-undecanoyl-ACP",cpdAGORA0008,C23H43N2O8PRS,-1,,,0
11m3hddcaACP[c],"11-methyl-3-hydroxy-dodecanoyl-ACP",cpdAGORA0009,C24H45N2O9PRS,-1,,,0
11m3oddcaACP[c],"11-methyl-3-oxo-dodecanoyl-ACP",cpdAGORA0010,C24H43N2O9PRS,-1,,,0
11mddcaACP[c],"11-methyl-dodecanoyl-ACP",cpdAGORA0011,C24H45N2O8PRS,-1,,,0
11mtddec2eACP[c],"11-methyl-trans-dodec-2-enoyl-ACP",cpdAGORA0012,C24H43N2O8PRS,-1,,,0
12daihdglyc[c],"1,2-Dianteisoheptadecanoyl-sn-glycerol",cpdAGORA0013,C37H72O5,0,,,0
12dgr180[c],"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",cpdAGORA0014,C39H76O5,0,,,0
12dihdglyc[c],"1,2-Diisoheptadecanoyl-sn-glycerol",cpdAGORA0015,C37H72O5,0,,,0
12m3hmyrsACP[c],"12-methyl-3-hydroxy-tetra-decanoyl-ACP",cpdAGORA0016,C26H49N2O9PRS,-1,,,0
