"NCBI.ID"	"KINGDOM"	"PHYLUM"	"CLASS"	"ORDER"	"FAMILY"	"GENUS"	"NCBI.NAMES"	"AGORA.NAMES"	"MODEL.NAMES"
"1"	592010	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Abiotrophia"	"Abiotrophia defectiva ATCC 49176"	"Abiotrophia defectiva ATCC 49176"	"Abiotrophia_defectiva_ATCC_49176"
"2"	762376	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"Achromobacter xylosoxidans A8"	"Achromobacter xylosoxidans A8"	"Achromobacter_xylosoxidans_A8"
"3"	1216976	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"Achromobacter xylosoxidans NBRC 15126 = ATCC 27061"	"Achromobacter xylosoxidans NBRC 15126"	"Achromobacter_xylosoxidans_NBRC_15126"
"4"	591001	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	"Acidaminococcus fermentans DSM 20731"	"Acidaminococcus fermentans DSM 20731"	"Acidaminococcus_fermentans_DSM_20731"
"5"	568816	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	"Acidaminococcus intestini RyC-MR95"	"Acidaminococcus intestini RyC-MR95"	"Acidaminococcus_intestini_RyC_MR95"
"6"	187327	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	"Acidaminococcus intestini"	"Acidaminococcus sp. D21"	"Acidaminococcus_sp_D21"
"7"	480119	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii AB0057"	"Acinetobacter baumannii AB0057"	"Acinetobacter_baumannii_AB0057"
"8"	871585	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter pittii PHEA-2"	"Acinetobacter calcoaceticus PHEA-2"	"Acinetobacter_calcoaceticus_PHEA_2"
"9"	1217986	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter haemolyticus NIPH 261"	"Acinetobacter haemolyticus NIPH 261"	"Acinetobacter_haemolyticus_NIPH_261"
"10"	575586	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter johnsonii SH046"	"Acinetobacter johnsonii SH046"	"Acinetobacter_johnsonii_SH046"
"11"	575587	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter junii SH205"	"Acinetobacter junii SH205"	"Acinetobacter_junii_SH205"
"12"	1046625	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter lwoffii WJ10621"	"Acinetobacter lwoffii WJ10621"	"Acinetobacter_lwoffii_WJ10621"
"13"	1217689	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter pittii ANC 4052"	"Acinetobacter pittii ANC 4052"	"Acinetobacter_pittii_ANC_4052"
"14"	1217674	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter radioresistens NIPH 2130"	"Acinetobacter radioresistens NIPH 2130"	"Acinetobacter_radioresistens_NIPH_2130"
"15"	416269	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Actinobacillus"	"Actinobacillus pleuropneumoniae serovar 5b str. L20"	"Actinobacillus pleuropneumoniae L20"	"Actinobacillus_pleuropneumoniae_L20"
"16"	888050	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Schaalia"	"Schaalia cardiffensis F0333"	"Actinomyces cardiffensis F0333"	"Actinomyces_cardiffensis_F0333"
"17"	1120942	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Schaalia"	"Schaalia georgiae DSM 6843"	"Actinomyces georgiae  DSM 6843"	"Actinomyces_georgiae_DSM_6843"
"18"	435830	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces graevenitzii C83"	"Actinomyces graevenitzii  C83"	"Actinomyces_graevenitzii_C83"
"19"	1115803	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces naeslundii str. Howell 279"	"Actinomyces naeslundii str. Howell 279"	"Actinomyces_naeslundii_str_Howell_279"
"20"	411466	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Schaalia"	"Schaalia odontolytica ATCC 17982"	"Actinomyces odontolyticus ATCC 17982"	"Actinomyces_odontolyticus_ATCC_17982"
"21"	871541	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces oris K20"	"Actinomyces oris K20"	"Actinomyces_oris_K20"
"22"	883077	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Schaalia"	"Schaalia turicensis ACS-279-V-Col4"	"Actinomyces turicensis ACS-279-V-Col4"	"Actinomyces_turicensis_ACS_279_V_Col4"
"23"	525246	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces urogenitalis DSM 15434"	"Actinomyces urogenitalis DSM 15434"	"Actinomyces_urogenitalis_DSM_15434"
"24"	562973	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces viscosus C505"	"Actinomyces viscosus  C505"	"Actinomyces_viscosus_C505"
"25"	1384484	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Adlercreutzia"	"Adlercreutzia equolifaciens DSM 19450"	"Adlercreutzia equolifaciens DSM 19450"	"Adlercreutzia_equolifaciens_DSM_19450"
"26"	655812	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Aerococcus"	"Aerococcus viridans ATCC 11563 = CCUG 4311"	"Aerococcus viridans ATCC 11563"	"Aerococcus_viridans_ATCC_11563"
"27"	878320	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas caviae Ae398"	"Aeromonas caviae Ae398"	"Aeromonas_caviae_Ae398"
"28"	380703	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas hydrophila subsp. hydrophila ATCC 7966"	"Aeromonas hydrophila subsp. hydrophila ATCC 7966"	"Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966"
"29"	1458276	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas jandaei Riv2"	"Aeromonas jandaei Riv2"	"Aeromonas_jandaei_Riv2"
"30"	1208104	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas media WS"	"Aeromonas media WS"	"Aeromonas_media_WS"
"31"	998088	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas veronii B565"	"Aeromonas veronii B565"	"Aeromonas_veronii_B565"
"32"	1197906	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Afipia"	"Afipia birgiae 34632"	"Afipia birgiae 34632"	"Afipia_birgiae_34632"
"33"	634176	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Aggregatibacter"	"Aggregatibacter aphrophilus NJ8700"	"Aggregatibacter aphrophilus NJ8700"	"Aggregatibacter_aphrophilus_NJ8700"
"34"	1050720	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Agrobacterium"	"Agrobacterium tumefaciens F2"	"Agrobacterium tumefaciens F2"	"Agrobacterium_tumefaciens_F2"
"35"	349741	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"Akkermansia muciniphila ATCC BAA-835"	"Akkermansia muciniphila ATCC BAA-835"	"Akkermansia_muciniphila_ATCC_BAA_835"
"36"	1218102	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Alcaligenes"	"Alcaligenes faecalis subsp. faecalis NBRC 13111"	"Alcaligenes faecalis subsp. faecalis NBRC 13111"	"Alcaligenes_faecalis_subsp_faecalis_NBRC_13111"
