metID,mets,metNames,metFormulas,metCharges,metSEEDID,metKEGGID,metHMDBID,metChEBIID,metPubChemID,metSmiles,b,csense
cpdAGORA0001,10fthf[c],"10-Formyltetrahydrofolate",C20H21N7O7,-2,cpd00201,C00234,HMDB0000972,CHEBI:15637,122347,,0,E
cpdAGORA0002,10m3hddcaACP[c],"10-methyl-3-hydroxy-dodecanoyl-ACP",C24H45N2O9PRS,-1,cpd11509,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0003,10m3hundecACP[c],"10-methyl-3-hydroxy-undecanoyl-ACP",C23H43N2O9PRS,-1,cpd11559,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0004,10m3oddcaACP[c],"10-methyl-3-oxo-dodecanoyl-ACP",C24H43N2O9PRS,-1,cpd11508,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0005,10m3oundecACP[c],"10-methyl-3-oxo-undecanoyl-ACP",C23H41N2O9PRS,-1,cpd11558,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0006,10mddcaACP[c],"10-methyl-dodecanoyl-ACP",C24H45N2O8PRS,-1,cpd11511,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0007,10mtddec2eACP[c],"10-methyl-trans-dodec-2-enoyl-ACP",C24H43N2O8PRS,-1,cpd11510,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0008,10mundecACP[c],"10-methyl-undecanoyl-ACP",C23H43N2O8PRS,-1,cpd11561,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0009,11m3hddcaACP[c],"11-methyl-3-hydroxy-dodecanoyl-ACP",C24H45N2O9PRS,-1,cpd11534,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0010,11m3oddcaACP[c],"11-methyl-3-oxo-dodecanoyl-ACP",C24H43N2O9PRS,-1,cpd11533,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0011,11mddcaACP[c],"11-methyl-dodecanoyl-ACP",C24H45N2O8PRS,-1,cpd11536,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0012,11mtddec2eACP[c],"11-methyl-trans-dodec-2-enoyl-ACP",C24H43N2O8PRS,-1,cpd11535,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0013,12daihdglyc[c],"1,2-Dianteisoheptadecanoyl-sn-glycerol",C37H72O5,0,cpd15702,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0014,12dgr180[c],"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",C39H76O5,0,cpd15311,NaN,HMDB0031012,NaN,102615,,0,E
cpdAGORA0015,12dihdglyc[c],"1,2-Diisoheptadecanoyl-sn-glycerol",C37H72O5,0,cpd15701,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0016,12m3hmyrsACP[c],"12-methyl-3-hydroxy-tetra-decanoyl-ACP",C26H49N2O9PRS,-1,cpd11513,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0017,12m3htridecACP[c],"12-methyl-3-hydroxy-tridecanoyl-ACP",C25H47N2O9PRS,-1,cpd11563,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0018,12m3omyrsACP[c],"12-methyl-3-oxo-tetra-decanoyl-ACP",C26H47N2O9PRS,-1,cpd11512,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0019,12m3otridecACP[c],"12-methyl-3-oxo-tridecanoyl-ACP",C25H45N2O9PRS,-1,cpd11562,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0020,12mmyrsACP[c],"12-methyl-tetra-decanoyl-ACP",C26H49N2O8PRS,-1,cpd11515,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0021,12mtmrs2eACP[c],"12-methyl-trans-tetra-dec-2-enoyl-ACP",C26H47N2O8PRS,-1,cpd11514,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0022,12mtridecACP[c],"12-methyl-tridecanoyl-ACP",C25H47N2O8PRS,-1,cpd11565,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0023,12ppd_S[c],"(S)-propane-1,2-diol",C3H8O2,0,cpd00453,C02917,HMDB0006213,CHEBI:29002,439846,,0,E
cpdAGORA0024,13dpg[c],"3-Phospho-D-glyceroyl phosphate",C3H4O10P2,-4,cpd00203,C00236,HMDB0001270,CHEBI:16001,683,,0,E
cpdAGORA0025,13m3hmyrsACP[c],"13-methyl-3-hydroxy-tetra-decanoyl-ACP",C26H49N2O9PRS,-1,cpd11538,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0026,13m3omyrsACP[c],"13-methyl-3-oxo-tetra-decanoyl-ACP",C26H47N2O9PRS,-1,cpd11537,NaN,NaN,NaN,NaN,,0,E
