"KINGDOM"	"PHYLUM"	"CLASS"	"ORDER"	"FAMILY"	"GENUS"	"SPECIES"	"NCBI.NAMES"	"AGORA.NAMES"	"MODEL.NAMES"
"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Abiotrophia"	"Abiotrophia defectiva"	"Abiotrophia defectiva ATCC 49176"	"Abiotrophia defectiva ATCC 49176"	"Abiotrophia_defectiva_ATCC_49176"
"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Acaricomes"	"Acaricomes phytoseiuli"	"Acaricomes phytoseiuli DSM 14247"	"Acaricomes phytoseiuli DSM 14247"	"Acaricomes_phytoseiuli_DSM_14247"
"Bacteria"	"Cyanobacteria"	"unclassified Cyanobacteria"	"Synechococcales"	"Acaryochloridaceae"	"Acaryochloris"	"Acaryochloris marina"	"Acaryochloris marina MBIC11017"	"Acaryochloris marina MBIC11017"	"Acaryochloris_marina_MBIC11017"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	"Acetanaerobacterium"	"Acetanaerobacterium elongatum"	"Acetanaerobacterium elongatum"	"Acetanaerobacterium elongatum"	"Acetanaerobacterium_elongatum_CGMCC_1_5012"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	"Acetatifactor"	"Acetatifactor muris"	"Acetatifactor muris"	"Acetatifactor muris"	"Acetatifactor_muris_GP69"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	"Acetivibrio"	"Acetivibrio cellulolyticus"	"Acetivibrio cellulolyticus CD2"	"Acetivibrio cellulolyticus CD2"	"Acetivibrio_cellulolyticus_CD2"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	"Acetivibrio"	"Acetivibrio ethanolgignens"	"Acetivibrio ethanolgignens"	"Acetivibrio ethanolgignens"	"Acetivibrio_ethanolgignens_ACET_33324"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Eubacteriaceae"	"Acetobacterium"	"Acetobacterium wieringae"	"Acetobacterium wieringae"	"Acetobacterium wieringae"	"Acetobacterium_wieringae_DSM_1911"
"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Acetonema"	"Acetonema longum"	"Acetonema longum DSM 6540"	"Acetonema longum DSM 6540"	"Acetonema_longum_DSM_6540"
"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"Achromobacter insuavis"	"Achromobacter insuavis AXX-A"	"Achromobacter insuavis AXX-A"	"Achromobacter_insuavis_AXX_A"
"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans A8"	"Achromobacter xylosoxidans A8"	"Achromobacter_xylosoxidans_A8"
"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"	"Achromobacter_xylosoxidans_ERR2221244"
"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"	"Achromobacter_xylosoxidans_ERR2221245"
"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"	"Achromobacter_xylosoxidans_ERR2221246"
"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"	"Achromobacter_xylosoxidans_ERR2221247"
"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans NBRC 15126 = ATCC 27061"	"Achromobacter xylosoxidans NBRC 15126 = ATCC 27061"	"Achromobacter_xylosoxidans_NBRC_15126"
"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"	"Achromobacter_xylosoxidans_NCTC10807"
"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Eubacteriales Family XII. Incertae Sedis"	"Acidaminobacter"	"Acidaminobacter hydrogenoformans"	"Acidaminobacter hydrogenoformans DSM 2784"	"Acidaminobacter hydrogenoformans DSM 2784"	"Acidaminobacter_hydrogenoformans_DSM_2784"
"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	"Acidaminococcus fermentans"	"Acidaminococcus fermentans DSM 20731"	"Acidaminococcus fermentans DSM 20731"	"Acidaminococcus_fermentans_DSM_20731"
"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	"Acidaminococcus intestini"	"Acidaminococcus intestini RyC-MR95"	"Acidaminococcus intestini RyC-MR95"	"Acidaminococcus_intestini_RyC_MR95"
"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	"Acidaminococcus massiliensis"	"Acidaminococcus massiliensis Marseille P2828"	"Acidaminococcus massiliensis Marseille P2828"	"Acidaminococcus_massiliensis_Marseille_P2828"
"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	"Acidaminococcus sp. BV3L6"	"Acidaminococcus sp. BV3L6"	"Acidaminococcus sp. BV3L6"	"Acidaminococcus_sp_BV3L6"
"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	"Acidaminococcus sp. D21"	"Acidaminococcus"	"Acidaminococcus"	"Acidaminococcus_sp_D21"
"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	"Acidaminococcus sp. HPA0509"	"Acidaminococcus sp. HPA0509"	"Acidaminococcus sp. HPA0509"	"Acidaminococcus_sp_HPA0509"
"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Acidobacterium"	"Acidobacterium ailaaui"	"Acidobacterium ailaaui"	"Acidobacterium ailaaui"	"Acidobacterium_ailaaui_PMMR2"
"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Acidobacterium"	"Acidobacterium capsulatum"	"Acidobacterium capsulatum ATCC 51196"	"Acidobacterium capsulatum ATCC 51196"	"Acidobacterium_capsulatum_ATCC_51196"
"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Acidovorax"	"Acidovorax caeni"	"Acidovorax caeni"	"Acidovorax caeni"	"Acidovorax_caeni_R_24608"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii 1656-2"	"Acinetobacter baumannii 1656-2"	"Acinetobacter_baumannii_1656_2"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii 3990"	"Acinetobacter baumannii 3990"	"Acinetobacter_baumannii_3990"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii 48055"	"Acinetobacter baumannii 48055"	"Acinetobacter_baumannii_48055"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii 53264"	"Acinetobacter baumannii 53264"	"Acinetobacter_baumannii_53264"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii 6013113"	"Acinetobacter baumannii 6013113"	"Acinetobacter_baumannii_6013113"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii 6013150"	"Acinetobacter baumannii 6013150"	"Acinetobacter_baumannii_6013150"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii 6014059"	"Acinetobacter baumannii 6014059"	"Acinetobacter_baumannii_6014059"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AA-014"	"Acinetobacter baumannii AA-014"	"Acinetobacter_baumannii_AA_014"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_1536-8"	"Acinetobacter baumannii AB_1536-8"	"Acinetobacter_baumannii_AB_1536_8"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_1582-8"	"Acinetobacter baumannii AB_1582-8"	"Acinetobacter_baumannii_AB_1582_8"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_1594-8"	"Acinetobacter baumannii AB_1594-8"	"Acinetobacter_baumannii_AB_1594_8"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_1595-8"	"Acinetobacter baumannii AB_1595-8"	"Acinetobacter_baumannii_AB_1595_8"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_1649-8"	"Acinetobacter baumannii AB_1649-8"	"Acinetobacter_baumannii_AB_1649_8"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_1650-8"	"Acinetobacter baumannii AB_1650-8"	"Acinetobacter_baumannii_AB_1650_8"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_1766_8"	"Acinetobacter baumannii AB_1766_8"	"Acinetobacter_baumannii_AB_1766_8"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2007-09-110-01-7"	"Acinetobacter baumannii AB_2007-09-110-01-7"	"Acinetobacter_baumannii_AB_2007_09_110_01_7"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2007-16-25-01-7"	"Acinetobacter baumannii AB_2007-16-25-01-7"	"Acinetobacter_baumannii_AB_2007_16_25_01_7"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2007-16-27-01"	"Acinetobacter baumannii AB_2007-16-27-01"	"Acinetobacter_baumannii_AB_2007_16_27_01"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2008-15-34-7"	"Acinetobacter baumannii AB_2008-15-34-7"	"Acinetobacter_baumannii_AB_2008_15_34_7"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2008-15-45"	"Acinetobacter baumannii AB_2008-15-45"	"Acinetobacter_baumannii_AB_2008_15_45"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2008-15-52"	"Acinetobacter baumannii AB_2008-15-52"	"Acinetobacter_baumannii_AB_2008_15_52"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2008-15-69"	"Acinetobacter baumannii AB_2008-15-69"	"Acinetobacter_baumannii_AB_2008_15_69"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2008-15-70"	"Acinetobacter baumannii AB_2008-15-70"	"Acinetobacter_baumannii_AB_2008_15_70"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2008-15-71"	"Acinetobacter baumannii AB_2008-15-71"	"Acinetobacter_baumannii_AB_2008_15_71"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2008-23-01-01-7"	"Acinetobacter baumannii AB_2008-23-01-01-7"	"Acinetobacter_baumannii_AB_2008_23_01_01_7"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2008-23-07-01-7"	"Acinetobacter baumannii AB_2008-23-07-01-7"	"Acinetobacter_baumannii_AB_2008_23_07_01_7"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter baumannii"	"Acinetobacter baumannii AB_2009-04-01-7"	"Acinetobacter baumannii AB_2009-04-01-7"	"Acinetobacter_baumannii_AB_2009_04_01_7"
