"rxnID"	"metNames"	"Class"
"rxnAGORA618"	"cardiolipin (tetraoctadecanoyl, n-C18:0)"	"Fatty acid"
"rxnAGORA619"	"cardiolipin (14-methyl-hexadecanoyl, anteiso-C17)"	"Fatty acid"
"rxnAGORA620"	"cardiolipin (15-methyl-hexadecanoyl, iso-C17)"	"Fatty acid"
"rxnAGORA621"	"4,5-dihydroxy-2,3-pentanedione"	"Others"
"rxnAGORA853"	"4-Aminobutanoate"	"Others"
"rxnAGORA854"	"mucin-type O-glycan No 10"	"Mucins"
"rxnAGORA855"	"mucin-type O-glycan No 100"	"Mucins"
"rxnAGORA856"	"released mucin-type O-glycan No 100"	"Mucins"
"rxnAGORA857"	"mucin-type O-glycan No 101"	"Mucins"
"rxnAGORA858"	"released mucin-type O-glycan No 101"	"Mucins"
"rxnAGORA859"	"mucin-type O-glycan No 102"	"Mucins"
"rxnAGORA860"	"released mucin-type O-glycan No 102"	"Mucins"
"rxnAGORA861"	"mucin-type O-glycan No 103"	"Mucins"
"rxnAGORA862"	"released mucin-type O-glycan No 103"	"Mucins"
"rxnAGORA863"	"mucin-type O-glycan No 104"	"Mucins"
"rxnAGORA864"	"released mucin-type O-glycan No 104"	"Mucins"
"rxnAGORA865"	"mucin-type O-glycan No 105"	"Mucins"
"rxnAGORA866"	"released mucin-type O-glycan No 105"	"Mucins"
"rxnAGORA867"	"mucin-type O-glycan No 106"	"Mucins"
"rxnAGORA868"	"released mucin-type O-glycan No 106"	"Mucins"
"rxnAGORA869"	"mucin-type O-glycan No 107"	"Mucins"
"rxnAGORA870"	"released mucin-type O-glycan No 107"	"Mucins"
"rxnAGORA871"	"mucin-type O-glycan No 108"	"Mucins"
"rxnAGORA872"	"released mucin-type O-glycan No 108"	"Mucins"
"rxnAGORA873"	"mucin-type O-glycan No 109"	"Mucins"
"rxnAGORA874"	"released mucin-type O-glycan No 109"	"Mucins"
"rxnAGORA875"	"released mucin-type O-glycan No 10"	"Mucins"
"rxnAGORA876"	"mucin-type O-glycan No 110"	"Mucins"
"rxnAGORA877"	"released mucin-type O-glycan No 110"	"Mucins"
"rxnAGORA878"	"mucin-type O-glycan No 111"	"Mucins"
"rxnAGORA879"	"released mucin-type O-glycan No 111"	"Mucins"
"rxnAGORA880"	"mucin-type O-glycan No 112"	"Mucins"
"rxnAGORA881"	"released mucin-type O-glycan No 112"	"Mucins"
"rxnAGORA882"	"mucin-type O-glycan No 113"	"Mucins"
"rxnAGORA883"	"released mucin-type O-glycan No 113"	"Mucins"
"rxnAGORA884"	"mucin-type O-glycan No 114"	"Mucins"
"rxnAGORA885"	"released mucin-type O-glycan No 114"	"Mucins"
"rxnAGORA886"	"mucin-type O-glycan No 115"	"Mucins"
"rxnAGORA887"	"released mucin-type O-glycan No 115"	"Mucins"
"rxnAGORA888"	"mucin-type O-glycan No 116"	"Mucins"
"rxnAGORA889"	"released mucin-type O-glycan No 116"	"Mucins"
"rxnAGORA890"	"mucin-type O-glycan No 117"	"Mucins"
"rxnAGORA891"	"released mucin-type O-glycan No 117"	"Mucins"
"rxnAGORA892"	"mucin-type O-glycan No 118"	"Mucins"
"rxnAGORA893"	"released mucin-type O-glycan No 118"	"Mucins"
"rxnAGORA894"	"mucin-type O-glycan No 119"	"Mucins"
"rxnAGORA895"	"released mucin-type O-glycan No 119"	"Mucins"
"rxnAGORA896"	"mucin-type O-glycan No 12"	"Mucins"
"rxnAGORA897"	"mucin-type O-glycan No 120"	"Mucins"
"rxnAGORA898"	"released mucin-type O-glycan No 120"	"Mucins"
"rxnAGORA899"	"mucin-type O-glycan No 121"	"Mucins"
"rxnAGORA900"	"released mucin-type O-glycan No 121"	"Mucins"
"rxnAGORA901"	"mucin-type O-glycan No 122"	"Mucins"
"rxnAGORA902"	"released mucin-type O-glycan No 122"	"Mucins"
"rxnAGORA903"	"mucin-type O-glycan No 123"	"Mucins"
"rxnAGORA904"	"released mucin-type O-glycan No 123"	"Mucins"
"rxnAGORA905"	"mucin-type O-glycan No 124"	"Mucins"
"rxnAGORA906"	"released mucin-type O-glycan No 124"	"Mucins"
"rxnAGORA907"	"mucin-type O-glycan No 126"	"Mucins"
"rxnAGORA908"	"released mucin-type O-glycan No 126"	"Mucins"
"rxnAGORA909"	"mucin-type O-glycan No 127"	"Mucins"
"rxnAGORA910"	"released mucin-type O-glycan No 127"	"Mucins"
"rxnAGORA911"	"mucin-type O-glycan No 128"	"Mucins"
"rxnAGORA912"	"released mucin-type O-glycan No 128"	"Mucins"
"rxnAGORA913"	"mucin-type O-glycan No 129"	"Mucins"
"rxnAGORA914"	"released mucin-type O-glycan No 129"	"Mucins"
"rxnAGORA915"	"released mucin-type O-glycan No 12"	"Mucins"
"rxnAGORA916"	"mucin-type O-glycan No 13"	"Mucins"
"rxnAGORA917"	"mucin-type O-glycan No 130"	"Mucins"
"rxnAGORA918"	"released mucin-type O-glycan No 130"	"Mucins"
"rxnAGORA919"	"mucin-type O-glycan No 131"	"Mucins"
"rxnAGORA920"	"released mucin-type O-glycan No 131"	"Mucins"
"rxnAGORA921"	"mucin-type O-glycan No 132"	"Mucins"
"rxnAGORA922"	"released mucin-type O-glycan No 132"	"Mucins"
"rxnAGORA923"	"mucin-type O-glycan No 133"	"Mucins"
"rxnAGORA924"	"released mucin-type O-glycan No 133"	"Mucins"
"rxnAGORA925"	"mucin-type O-glycan No 134"	"Mucins"
"rxnAGORA926"	"released mucin-type O-glycan No 134"	"Mucins"
"rxnAGORA927"	"mucin-type O-glycan No 135"	"Mucins"
"rxnAGORA928"	"released mucin-type O-glycan No 135"	"Mucins"
"rxnAGORA929"	"mucin-type O-glycan No 136"	"Mucins"
"rxnAGORA930"	"released mucin-type O-glycan No 136"	"Mucins"
"rxnAGORA931"	"mucin-type O-glycan No 137"	"Mucins"
"rxnAGORA932"	"released mucin-type O-glycan No 137"	"Mucins"
"rxnAGORA933"	"mucin-type O-glycan No 138"	"Mucins"
"rxnAGORA934"	"released mucin-type O-glycan No 138"	"Mucins"
"rxnAGORA935"	"mucin-type O-glycan No 139"	"Mucins"
"rxnAGORA936"	"released mucin-type O-glycan No 139"	"Mucins"
"rxnAGORA937"	"released mucin-type O-glycan No 13"	"Mucins"
"rxnAGORA938"	"mucin-type O-glycan No 14"	"Mucins"
"rxnAGORA939"	"mucin-type O-glycan No 140"	"Mucins"
"rxnAGORA940"	"released mucin-type O-glycan No 140"	"Mucins"
"rxnAGORA941"	"mucin-type O-glycan No 141"	"Mucins"
"rxnAGORA942"	"released mucin-type O-glycan No 141"	"Mucins"
"rxnAGORA943"	"mucin-type O-glycan No 142"	"Mucins"
"rxnAGORA944"	"released mucin-type O-glycan No 142"	"Mucins"
"rxnAGORA945"	"mucin-type O-glycan No 143"	"Mucins"
"rxnAGORA946"	"released mucin-type O-glycan No 143"	"Mucins"
"rxnAGORA947"	"mucin-type O-glycan No 144"	"Mucins"
"rxnAGORA948"	"released mucin-type O-glycan No 144"	"Mucins"
"rxnAGORA949"	"mucin-type O-glycan No 145"	"Mucins"
"rxnAGORA950"	"released mucin-type O-glycan No 145"	"Mucins"
"rxnAGORA951"	"mucin-type O-glycan No 146"	"Mucins"
"rxnAGORA952"	"released mucin-type O-glycan No 146"	"Mucins"
"rxnAGORA953"	"mucin-type O-glycan No 147"	"Mucins"
"rxnAGORA954"	"released mucin-type O-glycan No 147"	"Mucins"
"rxnAGORA955"	"mucin-type O-glycan No 148"	"Mucins"
"rxnAGORA956"	"released mucin-type O-glycan No 148"	"Mucins"
"rxnAGORA957"	"mucin-type O-glycan No 149"	"Mucins"
"rxnAGORA958"	"released mucin-type O-glycan No 149"	"Mucins"
"rxnAGORA959"	"released mucin-type O-glycan No 14"	"Mucins"
"rxnAGORA960"	"mucin-type O-glycan No 15"	"Mucins"
"rxnAGORA961"	"mucin-type O-glycan No 150"	"Mucins"
"rxnAGORA962"	"released mucin-type O-glycan No 150"	"Mucins"
"rxnAGORA963"	"mucin-type O-glycan No 151"	"Mucins"
