mets,metNames,metID,metFormulas,metCharges,metKEGGID,metHMDBID,metChEBIID,metPubChemID,metInChIString,metSmiles,metAliases,metSource,b,csense
"10fthf[c]","10-Formyltetrahydrofolate",cpd00201,C20H21N7O7,-2,C00234,HMDB00972,15637,122347,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,... <Preview truncated at 128 characters>",02/07/2014,"Name: 10-Formyl-THF; 10-Formyltetrahydrofolate; 10-formyl-H4PteGlu1; 10-formyl-THF; 10-formyl-THF mono-L-glutamate; 10-formyl-tetrahydrofolate; 10-formyl-tetrahydrofolate mono-L-glutamate; N10-formyl-H4F; N10-formyl-H4F mono-L-glutamate; N10-formyl-H4PteGlu1; N10-formyl-THF; N10-formyl-THF mono-L-glutamate; N10-formyl-tetrahydrofolate; N10-formyl-tetrahydrofolate mono-L-glutamate|AraCyc: 10-FORMYL-THF|BiGG: 10fthf|BrachyCyc: 10-FORMYL-THF|KEGG: C00234|MetaCyc: 10-FORMYL-THF",Primary Database,0,E
"10m3hddcaACP[c]","10-methyl-3-hydroxy-dodecanoyl-ACP",cpd11509,C24H45N2O9PRS,-1,,,,,"",02/07/2014,"Name: 10-methyl-3-hydroxy-dodecanoyl-ACP",Orphan,0,E
"10m3hundecACP[c]","10-methyl-3-hydroxy-undecanoyl-ACP",cpd11559,C23H43N2O9PRS,-1,,,,,"",02/07/2014,"Name: 10-methyl-3-hydroxy-undecanoyl-ACP",Orphan,0,E
"10m3oddcaACP[c]","10-methyl-3-oxo-dodecanoyl-ACP",cpd11508,C24H43N2O9PRS,-1,,,,,"",02/07/2014,"Name: 10-methyl-3-oxo-dodecanoyl-ACP",Orphan,0,E
"10m3oundecACP[c]","10-methyl-3-oxo-undecanoyl-ACP",cpd11558,C23H41N2O9PRS,-1,,,,,"",02/07/2014,"Name: 10-methyl-3-oxo-undecanoyl-ACP",Orphan,0,E
"10mddcaACP[c]","10-methyl-dodecanoyl-ACP",cpd11511,C24H45N2O8PRS,-1,,,,,"",02/07/2014,"Name: 10-methyl-dodecanoyl-ACP",Orphan,0,E
"10mtddec2eACP[c]","10-methyl-trans-dodec-2-enoyl-ACP",cpd11510,C24H43N2O8PRS,-1,,,,,"",02/07/2014,"Name: 10-methyl-trans-dodec-2-enoyl-ACP",Orphan,0,E
"10mundecACP[c]","10-methyl-undecanoyl-ACP",cpd11561,C23H43N2O8PRS,-1,,,,,"",02/07/2014,"Name: 10-methyl-undecanoyl-ACP",Orphan,0,E
"11m3hddcaACP[c]","11-methyl-3-hydroxy-dodecanoyl-ACP",cpd11534,C24H45N2O9PRS,-1,,,,,"",02/07/2014,"Name: 11-methyl-3-hydroxy-dodecanoyl-ACP",Orphan,0,E
"11m3oddcaACP[c]","11-methyl-3-oxo-dodecanoyl-ACP",cpd11533,C24H43N2O9PRS,-1,,,,,"",02/07/2014,"Name: 11-methyl-3-oxo-dodecanoyl-ACP",Orphan,0,E
"11mddcaACP[c]","11-methyl-dodecanoyl-ACP",cpd11536,C24H45N2O8PRS,-1,,,,,"",02/07/2014,"Name: 11-methyl-dodecanoyl-ACP",Orphan,0,E
"11mtddec2eACP[c]","11-methyl-trans-dodec-2-enoyl-ACP",cpd11535,C24H43N2O8PRS,-1,,,,,"",02/07/2014,"Name: 11-methyl-trans-dodec-2-enoyl-ACP",Orphan,0,E
"12daihdglyc[c]","1,2-Dianteisoheptadecanoyl-sn-glycerol",cpd15702,C37H72O5,0,,,,,"",02/07/2014,"Name: 1,2-Dianteisoheptadecanoyl-sn-glycerol",Orphan,0,E
